Datetime,Open,High,Low,Close,Volume
2023-10-25 10:45:00,3.198,3.214,3.043,3.135,899660.0
2023-10-25 11:00:00,3.135,3.146,3.082,3.146,450615.8
2023-10-25 11:15:00,3.147,3.198,3.12,3.166,325207.6
2023-10-25 11:30:00,3.168,3.179,3.088,3.123,348779.6
2023-10-25 11:45:00,3.124,3.155,3.09,3.14,295855.89999999997
2023-10-25 12:00:00,3.139,3.163,2.958,3.026,765645.9
2023-10-25 12:15:00,3.022,3.042,2.957,3.01,330653.2
2023-10-25 12:30:00,3.01,3.108,3.01,3.098,333579.3
2023-10-25 12:45:00,3.095,3.105,3.021,3.052,344924.8
2023-10-25 13:00:00,3.048,3.118,3.048,3.081,293304.2
2023-10-25 13:15:00,3.084,3.111,3.021,3.062,253356.8
2023-10-25 13:30:00,3.059,3.063,3.008,3.032,198368.6
2023-10-25 13:45:00,3.032,3.032,3.0,3.012,161070.5
2023-10-25 14:00:00,3.016,3.057,3.003,3.02,188168.0
2023-10-25 14:15:00,3.018,3.071,2.964,3.065,508582.1
2023-10-25 14:30:00,3.065,3.114,3.041,3.059,453348.3
2023-10-25 14:45:00,3.054,3.071,3.03,3.069,256035.09999999998
2023-10-25 15:00:00,3.068,3.075,2.97,2.977,524741.7
2023-10-25 15:15:00,2.978,3.004,2.804,2.895,1631596.5
2023-10-25 15:30:00,2.895,2.94,2.821,2.832,679737.4
2023-10-25 15:45:00,2.83,2.933,2.825,2.885,483454.0
2023-10-25 16:00:00,2.882,2.932,2.875,2.888,213793.6
2023-10-25 16:15:00,2.888,2.943,2.85,2.915,377464.5
2023-10-25 16:30:00,2.918,2.95,2.907,2.921,165838.9
2023-10-25 16:45:00,2.922,2.924,2.89,2.897,108989.8
2023-10-25 17:00:00,2.898,2.968,2.897,2.95,193357.09999999998
2023-10-25 17:15:00,2.951,2.979,2.923,2.968,180785.0
2023-10-25 17:30:00,2.968,3.021,2.962,3.007,353041.9
2023-10-25 17:45:00,3.007,3.013,2.969,2.976,178533.6
2023-10-25 18:00:00,2.972,3.008,2.952,2.989,197955.2
2023-10-25 18:15:00,2.992,3.064,2.972,3.029,392368.4
2023-10-25 18:30:00,3.028,3.042,2.978,2.991,256952.2
2023-10-25 18:45:00,2.992,3.025,2.99,3.011,140386.8
2023-10-25 19:00:00,3.012,3.023,2.935,2.961,259010.19999999998
2023-10-25 19:15:00,2.96,2.969,2.918,2.941,252704.6
2023-10-25 19:30:00,2.94,3.019,2.939,2.995,322543.7
2023-10-25 19:45:00,2.995,3.006,2.959,2.99,155675.4
2023-10-25 20:00:00,2.99,2.992,2.94,2.965,149362.5
2023-10-25 20:15:00,2.961,2.969,2.941,2.946,102380.4
2023-10-25 20:30:00,2.946,2.963,2.931,2.952,142020.8
2023-10-25 20:45:00,2.953,2.965,2.937,2.944,80164.0
2023-10-25 21:00:00,2.943,2.943,2.911,2.923,145802.0
2023-10-25 21:15:00,2.922,2.944,2.88,2.929,266273.1
